stop_id,date_visited
RRAT72,2024-04-29
MT72,2024-04-29
MT73,2024-04-29
RRAT71,2024-04-29
POGL41,2024-04-30
POGL42,2024-04-30
KORN44,2024-05-03
GORC41,2024-05-03
BUCZ01,2024-05-03
FABI02,2024-05-03
GORC21,2024-05-03
GORC42,2024-05-03
RATA72,2024-05-03
WROC71,2024-05-03
OSWI01,2024-05-03
RRAT76,2024-05-05
POLW41,2024-05-07
POLW42,2024-05-07
MAGA42,2024-05-08
RRAT74,2024-05-08
OJAG01,2024-05-12
OJAG02,2024-05-12
BALT71,2024-05-13
BALT42,2024-05-13
MT71,2024-05-13
KORN43,2024-05-13
PILS01,2024-05-15
PILS02,2024-05-15
PLWL41,2024-05-19
PLWL42,2024-05-19
WROC72,2024-05-19
PP71,2024-05-19
PP72,2024-05-19
KORN78,2024-05-19
KORN45,2024-05-19
KORN02,2024-05-19
KORN42,2024-05-19
KORN41,2024-05-19
