stop_id,date_visited
STGR01,2024-04-29
MATE01,2024-04-30
MATE02,2024-04-30
# KRAS02,2024-04-30
NADW42,2024-05-01
GWAR71,2024-05-01
POKA41,2024-05-01
POKA42,2024-05-01
KORN44,2024-05-01
KORN43,2024-05-01
GWAR42,2024-05-01
# RJEZ71,2024-05-01
KOSC02,2024-05-01
RRAT76,2024-05-02
PP72,2024-05-04
NADW41,2024-05-04
LUBI02,2024-05-04
OJAG01,2024-05-05
POLN02,2024-05-07
RKAP73,2024-05-07
WROC71,2024-05-07
FRRY42,2024-05-07
GRUD71,2024-05-07
RJEZ73,2024-05-07
MODW71,2024-05-08
DWZA72,2024-05-08
PLWI41,2024-05-08
RRAT74,2024-05-08
RRAT72,2024-05-09
MORO72,2024-05-09
MORO71,2024-05-09
POGL41,2024-05-10
WOJS41,2024-05-10
DWZA42,2024-05-11
DWZA02,2024-05-11
WIOS71,2024-05-11
KORN42,2024-05-12
KORN41,2024-05-12
STGR02,2024-05-13
MATE42,2024-05-13
BALT42,2024-05-13
MATE71,2024-05-13
RKAP05,2024-05-14
POGL42,2024-05-14
# RJEZ74,2024-05-15
MODW72,2024-05-15
RKAP72,2024-05-17
RKAP71,2024-05-17
PLRA41,2024-05-17
PLRA42,2024-05-17
MT73,2024-05-17
# RJEZ72,2024-05-17
KOSC01,2024-05-17
HEZJ01,2024-05-17
SMNA01,2024-05-19
LUDO01,2024-05-19
SZKA01,2024-05-19
TRUS01,2024-05-19
# DWZA94,2024-05-19
# DWZA93,2024-05-19
HEZJ02,2024-05-19
RRAT75,2024-05-20
