code,name,lat,lon,arrival,departure
BLAZ,Błażeja,52.45538454565,16.9446505477,BLAZ41,BLAZ42
POLA,Połabska,52.435049485,16.93182318,POLA41,POLA42
SOB,Os. Sobieskiego,52.4638752250,16.9172408350,SOB41,SOB42
# PIAT,Piątkowska,52.44151101715,16.91092823465,PIAT41,PIAT42
OGDY,Ogrody,52.41679429,16.883482625,OGDY41,OGDY42
BUDZ,Budziszyńska,52.3882600000,16.8477980000,BUDZ43,BUDZ44
JUNI,Junikowo,52.383483485,16.83400481,JUNI41,JUNI42
GORC,Górczyn PKM,52.38129223,16.88107072,GORC41,GORC42
DEEC,Dębiec PKM,52.372972375,16.90350858,DEEC41,DEEC42
STAR,Starołęka PKM,52.36849747,16.93202239,STAR41,STAR42
UNLU,Unii Lubelskiej,52.372211685,16.94975666,UNLU42,UNLU41
FRWO,Franowo,52.381548595,17.000896845,FRWO41,FRWO42
MILO,Miłostowo,52.40990458,17.0027181,MILO41,MILO42
ZAWA,Zawady,52.4133543967,16.95763981665,ZAWA42,ZAWA42
