vehicle_id,license_plate,carrier,model_id,image,lore
EX1,,PZ,KN102N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/102n_131.jpg,"This tram with a rather unique number, built in 1969, currently serves regularly on tourist lines. It's the only unit of this model in Poznań."
1,,PZ,HCMALT,https://i.imgur.com/Imc5Mez.jpeg,"This car was built in 1956."
2,,PZ,HCMALT,https://i.imgur.com/U7YVull.jpeg,"This car was built in 1956. In 2010, it underwent a major renovation by Modertrans."
3,,PZ,HCMALT,https://i.imgur.com/s7uH7B5.jpeg,"This car was built in 1956."
4,,PZ,HCMALT,,"This car was built in 1956."
5,,PZ,HCMALT,https://i.imgur.com/bH3LLG0.jpeg,"This car was built in 1972."
6,,PZ,MTMALT,https://i.imgur.com/icuay3a.jpeg,
7,,PZ,MTMALT,https://i.imgur.com/0hxtM14.jpeg,
8,,PZ,HCMALT,,"This car was built in 1972."
71,,PZ,KN102A,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=https://phototrans.eu/images/photos/original/494/643703.jpg,"This tram currently serves as a tourist tram."
84+83,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_48.jpg,
88+87,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_343.jpg,
98+97,,PZ,KN105K,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_42.jpg,
112+111,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_366.jpg,
116+115,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_338.jpg,
118+117,,PZ,KN105K,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_13.jpg,
126+125,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_353.jpg,
128+129,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_287.jpg,
134+135,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_376.jpg,
136+137,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/stop_22.jpg,
138+139,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_372.jpg,
140+141,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_354.jpg,
142+143,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_333.jpg,
144+145,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_385.jpg,
146+147,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_380.jpg,"This unit currently serves as a training tram."
148+149,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_320.jpg,
