stop_id,date_visited
WROC71,2024-05-19
WROC72,2024-05-19
PP71,2024-05-19
PP72,2024-05-19
KORN45,2024-05-19
KORN78,2024-05-19
KORN02,2024-05-19
KORN43,2024-05-19
KORN44,2024-05-19
KORN42,2024-05-19
KORN41,2024-05-19
POKA41,2024-05-21
POKA42,2024-05-21
BRKA02,2024-05-21
BRKA01,2024-05-21
WIAT04,2024-06-02
WIAT02,2024-06-02
WIAT03,2024-06-02
L II02,2024-06-10
RAKA01,2024-07-02
ROMI03,2024-07-02
ROMI02,2024-07-02
ROMI04,2024-07-02
BALT71,2024-07-03
BALT42,2024-07-03
MALE01,2024-07-03
MALE02,2024-07-03
PLL02,2024-07-03
PLL01,2024-07-03
PLL04,2024-07-03
PLL03,2024-07-03
KATE41,2024-09-23
WIOS72,2024-10-16
PAWI71,2024-11-25
MT44,2024-12-19
RJEZ71,2024-12-19
RJEZ72,2024-12-19
LACI42,2025-02-08
BLIZ02,2025-02-17
BLIZ01,2025-02-17
KRAS42,2025-03-05
UE42,2025-03-11
UE71,2025-03-11
