vehicle_id,date_discovered
424,2024-11-19
140+141,2024-11-19
530,2024-11-19
541,2024-11-19
168+167,2024-11-19
166+165,2024-11-19
928,2024-11-19
930,2024-11-19
555,2024-11-19
604,2024-11-19
655,2024-11-19
607,2024-11-19
3015,2024-11-19
1663,2024-11-19
1668,2024-11-19
3022,2024-11-19
1617,2024-11-19
1631,2024-11-19
1919,2024-11-19
1874,2024-11-19
3012,2024-11-19
4202,2024-11-19
4049,2024-11-19
1613,2024-11-19
4051,2024-11-19
3019,2024-11-19
1886,2024-11-19
532,2024-11-19
432,2024-11-19
446,2024-11-19
437,2024-11-19
914,2024-11-19
402,2024-11-19
5008,2024-11-19
4316,2024-11-19
1880,2024-11-19
1656,2024-11-19
1676,2024-11-19
1673,2024-11-19
1658,2024-11-19
1773,2024-11-19
500,2024-11-22
907,2024-11-22
616,2024-11-22
84+83,2024-11-22
623,2024-11-26
409,2024-11-26
611,2024-11-26
426,2024-11-26
548,2024-11-27
542,2024-11-27
922,2024-11-29
934,2024-11-29
937,2024-11-29
312+313,2024-11-29
624,2024-11-29
456,2024-11-29
527,2024-11-29
1612,2024-11-29
433,2024-11-30
5070,2024-11-30
1657,2024-11-30
5092,2024-11-30
# 2131,2024-12-01
# 2046,2024-12-01
# 2425,2024-12-01
# 2035,2024-12-01
# 2083,2024-12-01
5019,2024-12-01
1661,2024-12-01
1917,2024-12-01
1903,2024-12-01
1614,2024-12-01
1624,2024-12-01
405,2024-12-01
618,2024-12-01
1915,2024-12-01
4319,2024-12-02
298+299,2024-12-03
538,2024-12-03
264+263,2024-12-03
558,2024-12-03
630,2024-12-03
929,2024-12-04
628,2024-12-04
520,2024-12-04
399,2024-12-04
457,2024-12-04
411,2024-12-04
5054,2024-12-04
518,2024-12-04
112+111,2024-12-04
4131,2024-12-04
1654,2024-12-04
1854,2024-12-04
434,2024-12-04
430,2024-12-04
1641,2024-12-04
3009,2024-12-04
1672,2024-12-04
1652,2024-12-04
1764,2024-12-04
1660,2024-12-04
1610,2024-12-04
1757,2024-12-04
425,2024-12-04
4317,2024-12-04
1675,2024-12-05
4318,2024-12-05
1649,2024-12-05
5097,2024-12-05
524,2024-12-05
525,2024-12-05
1760,2024-12-05
1894,2024-12-05
5040,2024-12-05
1609,2024-12-05
1501,2024-12-05
514,2024-12-05
1031,2024-12-05
452,2024-12-05
938,2024-12-05
911,2024-12-05
436,2024-12-05
540,2024-12-05
413,2024-12-05
508,2024-12-05
621,2024-12-05
1258,2024-12-05
1925,2024-12-05
1712,2024-12-05
1862,2024-12-05
9102,2024-12-05
1701,2024-12-05
8321,2024-12-05
1869,2024-12-05
1602,2024-12-05
629,2024-12-05
1205,2024-12-05
534,2024-12-05
1923,2024-12-05
1260,2024-12-05
1320,2024-12-05
1470,2024-12-05
1873,2024-12-05
511,2024-12-05
9110,2024-12-05
9109,2024-12-05
625,2024-12-05
9107,2024-12-05
1670,2024-12-05
505,2024-12-05
502,2024-12-05
1706,2024-12-05
9111,2024-12-05
554,2024-12-05
1633,2024-12-05
9124,2024-12-05
1264,2024-12-05
509,2024-12-05
603,2024-12-05
1674,2024-12-05
401,2024-12-05
517,2024-12-05
516,2024-12-05
1902,2024-12-05
537,2024-12-05
1922,2024-12-05
1879,2024-12-05
515,2024-12-05
1001,2024-12-05
1872,2024-12-05
1937,2024-12-05
1867,2024-12-05
535,2024-12-05
453,2024-12-05
1477,2024-12-05
1313,2024-12-05
1480,2024-12-05
927,2024-12-05
448,2024-12-05
1833,2024-12-05
88+87,2024-12-05
408,2024-12-05
1620,2024-12-05
1621,2024-12-05
1865,2024-12-05
1774,2024-12-05
4320,2024-12-06
1877,2024-12-06
1022,2024-12-06
5056,2024-12-06
1643,2024-12-06
4120,2024-12-06
4222,2024-12-06
4203,2024-12-06
4210,2024-12-06
3023,2024-12-06
451,2024-12-07
1768,2024-12-07
1705,2024-12-07
925,2024-12-07
923,2024-12-07
610,2024-12-10
1665,2024-12-10
1772,2024-12-17
1636,2024-12-17
428,2024-12-18
557,2024-12-18
940,2024-12-18
1605,2024-12-18
1771,2024-12-18
5051,2024-12-18
1606,2024-12-18
1897,2024-12-18
533,2024-12-18
5098,2024-12-18
4314,2024-12-18
1762,2024-12-18
1888,2024-12-18
1027,2024-12-18
1662,2024-12-18
3001,2024-12-18
3016,2024-12-18
1901,2024-12-18
4043,2024-12-18
4236,2024-12-18
1885,2024-12-18
444,2024-12-18
1630,2024-12-18
4133,2024-12-18
204+203,2024-12-19
455,2024-12-19
513,2024-12-19
1307,2024-12-19
134+135,2024-12-19
198+197,2024-12-19
218+215,2024-12-19
921,2024-12-19
