line_number,date_discovered
163,2024-12-12
15,2024-12-12
170,2024-12-12
6,2024-12-12
19,2024-12-12
164,2024-12-12
1,2024-12-13
145,2024-12-13
7,2024-12-13
184,2024-12-13
190,2024-12-13
13,2024-12-13
148,2024-12-16
11,2024-12-16
18,2024-12-16
181,2024-12-16
152,2024-12-16
# 24,2024-12-16
2,2024-12-18
9,2024-12-18
# 124,2024-12-18
12,2024-12-19
17,2024-12-20
10,2024-12-20
168,2024-12-21
322,2024-12-21
171,2024-12-25
832,2024-12-30
146,2024-12-30
201,2025-01-01
178,2025-01-02
174,2025-01-03
169,2025-01-07
122,2025-01-08
425,2025-01-08
166,2025-01-08
157,2025-01-08
191,2025-01-08
179,2025-01-08
701,2025-01-08
611,2025-01-08
614,2025-01-08
180,2025-01-08
704,2025-01-08
715,2025-01-08
727,2025-01-08
716,2025-01-08
175,2025-01-08
5,2025-01-10
182,2025-01-13
# T9,2025-01-20
# 4,2025-01-26
121,2025-01-31
801,2025-01-31
729,2025-01-31
193,2025-02-11
14,2025-02-11
401,2025-03-06
405,2025-03-06
836,2025-03-19
802,2025-03-19
